@RELATION Leaf_Classification

@ATTRIBUTE Contrast numeric
@ATTRIBUTE Homogeneity numeric
@ATTRIBUTE ASM numeric
@ATTRIBUTE Dissimilarity numeric
@ATTRIBUTE Energy numeric
@ATTRIBUTE class {Aguacate,Guaycacan,Coralillo}

@DATA
1662054,4594696.17987,4000996574,946232,63253.4313219,Aguacate
838494,4780977.9848,2591737130,524832,50909.1065528,Aguacate
536478,4834156.74842,1018058324,391306,31907.0262481,Aguacate
481981,4836304.51176,2280582668,379005,47755.4464747,Aguacate
1704210,4584510.85882,3471111624,969368,58916.1406068,Aguacate
884201,4768964.55077,726625032,551973,26955.9832319,Aguacate
561175,4827869.47557,2273782270,405885,47684.1930832,Aguacate
502652,4830700.75294,1003771358,391790,31682.3508913,Aguacate
1786226,4564897.65567,4126237912,1013908,64235.7993023,Aguacate
1029379,4729894.67148,877864580,639503,29628.7795901,Aguacate
704893,4785297.81674,3707267064,500253,60887.330899,Aguacate
688640,4766775.76471,4138219670,529116,64328.9955619,Aguacate
1929668,4531019.17032,3930605992,1090812,62694.5451535,Aguacate
1582417,4593235.75508,2887117114,948765,53731.9003386,Aguacate
84488591,1912934.04015,53458264,12097429,7311.5158483,Aguacate
1857515,4410407.76432,1596813080,1308075,39960.1436434,Aguacate
2170437,4476255.02366,31845930,1215459,5643.2198256,Aguacate
5986404,3946740.79819,3053070196,2537396,55254.5943429,Aguacate
893830,4674519.53032,3449679138,716796,58733.9692001,Aguacate
670946,4741527.58824,452521984,568468,21272.5641144,Aguacate
2587416,4387026.32643,2007151590,1419566,44801.2454068,Aguacate
170707974,1360311.0703,1740661306,18384746,41721.2332752,Aguacate
816860,4697851.38643,4175634834,665250,64619.1522229,Aguacate
687278,4734359.98824,1237370182,583132,35176.2729976,Aguacate
3339848,4242149.4834,2936419076,1755692,54188.7356929,Aguacate
33496993,2410493.9661,4097651314,7885481,64012.8995906,Aguacate
1692638,4370837.55238,3256410410,1352962,57064.9665732,Aguacate
1902433,4319403.93593,2049563832,1475385,45272.1087647,Aguacate
4791438,4012610.7782,3998484878,2309424,63233.5739778,Aguacate
377670263,989299.149153,1692676522,29508437,41142.1501869,Aguacate
1564681,4384546.50049,209223148,1311443,14464.5479708,Aguacate
1120164,4549372.58824,4176436724,963560,64625.3566644,Aguacate
1494349,4548347.79641,2175451746,1015181,46641.7382395,Aguacate
777593,4748916.00317,3684675714,572587,60701.5297501,Aguacate
523508,4809689.6,2052354266,430302,45302.9167494,Aguacate
477960,4814988.0,541111142,413880,23261.7957604,Aguacate
1533693,4536350.47109,1409778012,1041157,37547.0106933,Aguacate
822749,4735197.04932,3792347052,602721,61582.0351401,Aguacate
549086,4801871.0,4216244520,447596,64932.6152253,Aguacate
499844,4807600.4,331699368,429840,18212.6156276,Aguacate
1609570,4513369.1804,1439904210,1091000,37946.069757,Aguacate
966969,4688828.56425,1492853698,703031,38637.4649531,Aguacate
703716,4748148.0,1842727298,562802,42926.9996389,Aguacate
695628,4732189.76471,2258692634,588136,47525.7049816,Aguacate
1740552,4474094.18549,1539668248,1176360,39238.6066012,Aguacate
1503031,4529528.94534,4109310358,1051251,64103.9028297,Aguacate
103438127,1753930.70097,1535899218,14084059,39190.550111,Aguacate
1891658,4324216.18318,2493865616,1461454,49938.6184831,Aguacate
1964672,4409696.32782,3206233310,1317496,56623.610888,Aguacate
5684255,3788308.07914,1396006082,2835183,37363.1647749,Aguacate
936123,4618087.60045,4081316108,818319,63885.179095,Aguacate
690139,4707160.9,2174407378,628955,46630.5412578,Aguacate
2355798,4304573.77711,4076810276,1550630,63849.9042756,Aguacate
195579613,1228157.93013,2339483250,21035607,48368.2049491,Aguacate
859975,4644938.71176,2470791764,760955,49707.0594986,Aguacate
712616,4697583.2,1054714518,648664,32476.3686086,Aguacate
3073877,4136062.46909,3532820670,1933867,59437.5358675,Aguacate
37370360,2156784.59965,3195285642,9063442,56526.857705,Aguacate
1911196,4253452.80821,774690990,1583922,27833.2712774,Aguacate
2030164,4212789.43548,303738332,1674484,17428.0903142,Aguacate
4523100,3869704.79343,2349943108,2573146,48476.2117744,Aguacate
468526959,940313.9951,2120479256,34132035,46048.6618264,Aguacate
1774997,4271587.07358,3937433704,1533517,62748.9737287,Aguacate
1196269,4482540.83575,556675546,1087655,23593.9726625,Aguacate
1942334,4481204.24507,3364633966,1191110,58005.4649667,Aguacate
1101735,4682329.96132,1683890618,735361,41035.2362976,Aguacate
769149,4741520.34706,1618717890,584639,40233.2933029,Aguacate
696335,4747620.5,711593890,562555,26675.717235,Aguacate
1991280,4468561.53383,1396725856,1219362,37372.7956674,Aguacate
1158145,4667379.64093,203599808,769085,14268.8404574,Aguacate
800022,4733510.64706,4147704688,603090,64402.6760935,Aguacate
722345,4739852.3,3598171480,579837,59984.760398,Aguacate
2085538,4444683.85952,2793422326,1272990,52852.8364991,Aguacate
1333063,4620236.45216,3917789374,874645,62592.2469161,Aguacate
981785,4677375.41312,2833185122,726461,53227.672521,Aguacate
943997,4662070.84118,441979346,746275,21023.3048306,Aguacate
2249052,4404769.8794,931615894,1363492,30522.3834915,Aguacate
2002817,4454070.12682,1420637020,1251215,37691.3387929,Aguacate
127488483,1836303.21366,2318140960,14922723,48147.0763391,Aguacate
2319213,4230007.17844,1090146036,1684527,33017.3596158,Aguacate
2532658,4338210.77208,1211114312,1515664,34801.0676848,Aguacate
7581967,3698020.08139,4177243210,3196755,64631.5960657,Aguacate
1185466,4547165.19626,2475536506,977632,49754.7636513,Aguacate
902151,4640442.47647,1578537828,775487,39730.8171071,Aguacate
3030522,4232443.30554,3787946484,1762588,61546.2954531,Aguacate
237926400,1278044.11201,2689319816,22119324,51858.6522771,Aguacate
1089678,4582002.44796,829981710,903902,28809.4031524,Aguacate
925174,4633165.56471,348612156,791450,18671.1584001,Aguacate
3961326,4062252.32848,3744127004,2173062,61189.2719682,Aguacate
46086159,2133254.54611,3367888092,9705259,58033.5083551,Aguacate
2221866,4195723.29539,1740672458,1729350,41721.3669239,Aguacate
2425335,4137717.51997,4092887794,1863627,63975.6812703,Aguacate
5845492,3797505.93083,922691364,2856358,30375.8351984,Aguacate
523882212,1060102.09165,2374314824,34199254,48726.9414595,Aguacate
2044007,4217473.77104,3287153590,1667345,57333.7037876,Aguacate
1430546,4413694.09321,318959198,1241376,17859.4288263,Aguacate
1421988,4622893.51506,4243633208,865996,65143.1746847,Aguacate
788135,4779775.05631,3205921350,519245,56620.8561398,Aguacate
533577,4831869.319,1229800216,394631,35068.5074675,Aguacate
485180,4836357.69412,1064194482,379454,32621.9938385,Aguacate
1455682,4613576.59474,3657416286,886130,60476.5763416,Aguacate
833049,4768855.43308,2841469432,544219,53305.4352951,Aguacate
558839,4826380.32805,3168828000,407953,56292.344062,Aguacate
506668,4830826.42353,3505156878,392252,59204.3653627,Aguacate
1519535,4596095.11899,3731894294,923957,61089.2322263,Aguacate
967138,4735115.9081,1401422720,620236,37435.5809358,Aguacate
708008,4785444.08326,4133958142,500252,64295.8641127,Aguacate
