@RELATION Leaf_Classification

@ATTRIBUTE Contrast numeric
@ATTRIBUTE Homogeneity numeric
@ATTRIBUTE ASM numeric
@ATTRIBUTE Dissimilarity numeric
@ATTRIBUTE Energy numeric
@ATTRIBUTE class {Aguacate, Guayacan, Coralillo}

@DATA
35599385,2757750.26404,293488638,6958181,17131.5100911,Aguacate
39598190,2522979.30577,2464857632,8023550,49647.3325769,Aguacate
43763298,2535020.28393,572540842,8318594,23927.8256848,Aguacate
20719567,2922305.00969,638746838,5706531,25273.4413565,Aguacate
21535352,2870455.14998,3844410992,5931778,62003.314363,Aguacate
21291276,2886143.55158,1499908016,5864778,38728.6459355,Aguacate
27955893,2669711.4975,1314364494,6871439,36254.1651952,Aguacate
27793430,2824760.86237,619282470,6345128,24885.3866757,Aguacate
37160513,2783288.18203,3841821104,7016573,61982.4257673,Aguacate
37466683,2855282.07854,1285718180,6831497,35856.9125832,Aguacate
35032079,2783372.33529,1606782090,6886555,40084.6864775,Aguacate
56373659,2643494.08828,3735566004,8411993,61119.2768609,Aguacate
59017663,2630369.4144,708333100,8669571,26614.5279875,Aguacate
28182504,2921513.949,4151440218,6022294,64431.6709235,Aguacate
66259853,2552998.94123,1513393008,9218327,38902.3522168,Aguacate
46530341,2584575.93634,3995522210,8056219,63210.1432525,Aguacate
47443198,2502460.87273,2931435598,8411894,54142.733566,Aguacate
47028679,2483422.59064,2770364338,8436839,52634.2506169,Aguacate
46577534,2606349.18235,4200816858,7925058,64813.708874,Aguacate
36561410,2686401.04294,2355967306,7180930,48538.3076137,Aguacate
55294908,2538369.895,1062207424,8681878,32591.523806,Aguacate
38007632,2483969.51385,1022214644,8043932,31972.0916426,Aguacate
33086318,2713047.95046,1360855436,7036066,36889.7741386,Aguacate
32883082,2875145.83031,1304519676,6537968,36118.1350017,Aguacate
26300385,3075188.53086,3593614150,5683023,59946.7609634,Aguacate
20949880,2837469.99847,1194300856,6068850,34558.6581915,Aguacate
25664444,3504259.56904,4119164628,4752284,64180.7185064,Aguacate
18742854,3000698.35505,1865967992,5495814,43196.8516445,Aguacate
20880004,3098086.08776,4056402742,5265370,63689.8951326,Aguacate
18370696,2759928.79337,3077295158,6017658,55473.3734146,Aguacate
18942488,2910535.71857,1321032238,5786804,36346.007181,Coralillo
16656153,3300547.90917,3585735620,4590033,59881.0121825,Coralillo
19899508,3620860.45645,3615396500,4210728,60128.1672762,Coralillo
19533043,3083721.1848,2213599574,5299101,47048.9061934,Coralillo
18070544,3116315.46246,174336934,5081622,13203.6712319,Coralillo
18878216,3019667.35108,3493450544,5304568,59105.4189055,Coralillo
13943469,3087380.80109,564915986,4845739,23767.9613345,Coralillo
18810535,2915720.56305,3921829686,5626207,62624.5134592,Coralillo
15920907,3150312.06251,2185605518,4834061,46750.4600833,Coralillo
21064690,3022436.18967,1217159052,5562940,34887.8066378,Coralillo
20003189,3081977.16821,342222568,5216753,18499.2585797,Coralillo
18510947,3140862.9882,1863996926,4920123,43174.0306898,Coralillo
18180428,3101986.57943,1159776764,5109288,34055.4953568,Coralillo
23059339,2659185.02074,2331544962,6678461,48286.0742036,Coralillo
18424536,2949936.70745,1002010450,5566514,31654.5486463,Coralillo
21014627,2908165.96629,2765769456,5801617,52590.5833396,Coralillo
27312151,2600441.09633,2797646592,7141547,52892.7839313,Coralillo
18570235,2944692.57941,3216542228,5594643,56714.5680403,Coralillo
35540840,4227694.61093,2686465744,3402554,51831.1271728,Coralillo
26103637,3087177.28224,2333722940,5748481,48308.6217978,Coralillo
21468810,2992198.73862,2699812394,5644626,51959.7189561,Coralillo
16997096,3112680.56129,1918356326,4954078,43799.0448069,Coralillo
23900583,3064214.70656,3999456002,5507231,63241.2523753,Coralillo
20064932,2900073.47653,1915690778,5839234,43768.6049355,Coralillo
21877702,3561482.37448,3133958,4615846,1770.29884483,Coralillo
19478317,2858470.96272,4240190522,5869033,65116.7453271,Coralillo
13214361,3163359.11652,308779344,4709079,17572.1183697,Coralillo
19816747,3011164.59736,2119395178,5474499,46036.8893172,Coralillo
24645191,2817309.9927,659054426,6305219,25672.0553521,Coralillo
21967984,2753619.75605,1070449206,6385466,32717.7200612,Coralillo
13960436,3037379.90628,679386060,5151782,26065.0352004,Guayacan
19094459,2684553.18681,3811096062,6403655,61734.0753717,Guayacan
12010377,3203358.1415,523753208,4562931,22885.6550704,Guayacan
11155722,3115592.54815,2780140928,4735670,52727.0417149,Guayacan
11843083,3123509.1517,3010425128,4781285,54867.3411785,Guayacan
15597727,2895089.5739,2912601456,5606635,53968.5228258,Guayacan
10916907,3146875.83516,4148444586,4637831,64408.4201483,Guayacan
16327902,2706615.11469,3332093426,6175206,57724.2880077,Guayacan
12083316,3238752.08283,2672688732,4470542,51698.0534643,Guayacan
10467509,3252766.49749,1854006678,4374375,43058.1778295,Guayacan
12554947,3072756.49921,1277747790,4914961,35745.5981905,Guayacan
12805468,3027309.22685,2018036426,5080928,44922.5603233,Guayacan
15236138,2896163.64161,2111013458,5554570,45945.7664862,Guayacan
14986188,3053204.6898,4218469354,5174448,64949.744834,Guayacan
12369031,3066608.26944,1032608490,4964865,32134.226146,Guayacan
12598159,3493056.52141,2213267594,4006851,47045.3780302,Guayacan
13036446,3105026.11376,2086801936,4868528,45681.527295,Guayacan
12578855,3049119.43221,737956310,4999639,27165.3512769,Guayacan
13816194,3160160.83839,2919258356,4898322,54030.1615396,Guayacan
12924643,3030189.81181,3356648550,5090385,57936.5907696,Guayacan
16771045,3036806.41748,469190604,5360019,21660.8080182,Guayacan
15897641,2850521.3862,1417969322,5719269,37655.9334236,Guayacan
11584951,3192966.80887,2626941412,4577361,51253.6965691,Guayacan
11005643,3066519.10131,4240620684,4832741,65120.0482494,Guayacan
9017316,3539655.22849,441704516,3608646,21016.7674965,Guayacan
6697973,3498081.70706,2531206554,3491413,50311.0977221,Guayacan
10855786,3249664.33757,3207347970,4344820,56633.4527466,Guayacan
13214573,3153444.09791,2518502786,4753047,50184.686768,Guayacan
10213374,3373158.35173,3739882350,3991622,61154.5775065,Guayacan
12235894,3242825.48334,2154604066,4536576,46417.7128476,Guayacan
